id,name,headquarter,street,house_number,place_id,phone,fax,director_id,homepage_id,net_id
381,Academie voor                 Muziek,false,Osylei,     ,1674,,,55,55,1
382,Academie Muziek-Woord         Berchem,false,Belgiëlei,99,63,,,56,56,1
383,Academie Muziek-Woord         Berchem,false,Durletstraat,8,63,,,56,56,1
384,Academie Muziek-Woord         Berchem,false,Sint-Hubertusstraat,12,213,,,56,56,1
385,Academie Muziek-Woord         Berchem,true,Willem Van Laarstraat,15,213,32864363,32834368,56,56,1
386,Academie Muziek-Woord         Berchem,false,Frans Van Hombeeckplein,29,213,,,56,56,1
387,Gemeentelijke Academie voor   Muziek,false,Visserij,8_A  ,2768,,,57,57,1
388,Gemeentelijke Academie voor   Muziek,false,Theo Verellenlaan,88,2768,,,57,57,1
389,Gemeentelijke Academie voor   Muziek,false,Kapelstraat,2,2768,,,57,57,1
390,Gemeentelijke Academie voor   Muziek,true,Dorpsstraat,87,2768,36904648,,57,57,1
391,Gemeentelijke Academie voor   Muziek,false,St-Jorisstraat,11,316,,,58,58,1
392,Gemeentelijke Academie voor   Muziek,false,Oude Baan,372,1465,,,58,58,1
393,Gemeentelijke Academie voor   Muziek,false,Steenakkerstraat,8,1465,,,58,58,1
394,Gemeentelijke Academie voor   Muziek,false,Hoekstraat,1,1465,,,58,58,1
395,Gemeentelijke Academie voor   Muziek,true,Zetellaan,50,1465,89769777,89769779,58,58,1
396,Gemeentelijke Academie voor   Muziek,false,Parklaan,3,1465,,,58,58,1
397,Gemeentelijke Academie voor   Muziek,false,Rijksweg,357,1465,,,58,58,1
398,Gemeentelijke Academie voor   Muziek,false,Schoolstraat,34,1465,,,58,58,1
399,GO! muziekacademie Alsemberg,true,Witteweg,18,34,23802042,23806741,59,59,2
400,GO! muziekacademie Alsemberg,false,H. Torleylaan,87,1124,,,59,59,2
401,GO! muziekacademie Alsemberg,false,Toekomstlaan,32_B ,2239,,,59,59,2
402,Stedelijke Academie voor      Muziek,false,Molenstraat,17,526,,,60,60,1
403,Stedelijke Academie voor      Muziek,false,Edingsesteenweg,344,529,,,60,60,1
404,Stedelijke Academie voor      Muziek,false,Sint-Goriksplein,17,908,,,60,60,1
405,Stedelijke Academie voor      Muziek,false,Muilenstraat,33,1383,,,60,60,1
406,Stedelijke Academie voor      Muziek,false,Gemeentehuisstraat,30,1539,,,60,60,1
407,Stedelijke Academie voor      Muziek,false,Meredorp,     ,1576,,,60,60,1
408,Stedelijke Academie voor      Muziek,true,Parklaan,13,1757,54334725,,60,60,1
409,Stedelijke Academie voor      Muziek,false,Burchtstraat,47_49,1757,,,60,60,1
410,Stedelijke Academie voor      Muziek,false,Kristus Koninglaan,Z/N  ,2368,,,60,60,1
411,Stedelijke Academie voor      Muziek,false,Pastorijstraat,60,220,,,61,61,1
412,Stedelijke Academie voor      Muziek,false,Jef Van Hoofplein,     ,285,,,61,61,1
413,Stedelijke Academie voor      Muziek,false,Gemeenteplein,25,374,,,61,61,1
414,Stedelijke Academie voor      Muziek,true,Gasthuisvest,50,1388,34804579,34804579,61,61,1
415,Stedelijke Academie voor      Muziek,false,Kapucijnenvest,16,1388,,,61,61,1
416,Stedelijke Academie voor      Muziek,false,Kardinaal Mercierplein,     ,1388,,,61,61,1
417,Stedelijke Academie voor      Muziek,false,Liersesteenweg,25,1411,,,61,61,1
418,Stedelijke Academie voor      Muziek,false,Dorpsplaats,1,1484,,,61,61,1
419,Stedelijke Academie voor      Muziek,false,Sint Jozeflei,26,1484,,,61,61,1
420,Stedelijke Academie voor      Muziek,false,Statiestraat,13,1754,,,61,61,1
421,Stedelijke Academie voor      Muziek,false,Amelbergastraat,26,2780,,,61,61,1
422,De Academie Buggenhout,true,Kasteelstraat,162,389,52339571,52341857,62,62,1
423,Academie voor Muziek en Woord Willebroek,false,Hinxelaar,4,269,,,63,63,2
424,Academie voor Muziek en Woord Willebroek,false,Blaasveldstraat,57,2440,,,63,63,2
425,Academie voor Muziek en Woord Willebroek,true,Kerkstraat,2_A  ,2739,38863390,38863390,63,63,2
426,"Kunstenacademie ""August De    Boeck"" Asse",false,Brusselbaan,117,23,,,64,64,1
427,"Kunstenacademie ""August De    Boeck"" Asse",false,Asphaltcosite,130,91,,,64,64,1
428,"Kunstenacademie ""August De    Boeck"" Asse",true,Neerstraat,19,91,24528379,,64,64,1
429,"Kunstenacademie ""August De    Boeck"" Asse",false,Stationsstraat,55,1574,,,64,64,1
430,"Kunstenacademie ""August De    Boeck"" Asse",false,Dendermondestraat,25,1574,,,64,64,1
431,"Kunstenacademie ""August De    Boeck"" Asse",false,Processiestraat,24,1858,,,64,64,1
432,"Kunstenacademie ""August De    Boeck"" Asse",false,Kerkstraat,4,2257,,,64,64,1
433,Jetse academie                Muziek-Woord-Dans,false,Zeypstraat,47,781,,,65,65,1
434,Jetse academie                Muziek-Woord-Dans,false,Kardinaal Mercierplein,1,1177,,,65,65,1
435,Jetse academie                Muziek-Woord-Dans,false,Léon Theodorstraat,167,1177,,,65,65,1
436,Jetse academie                Muziek-Woord-Dans,false,Laarbeeklaan,110,1177,,,65,65,1
437,Jetse academie                Muziek-Woord-Dans,true,Wilgstraat,1,1177,24267294,,65,65,1
438,Gemeentelijke Academie voor   Muziek en Woord,false,Kleistraat,4,245,,,66,66,1
439,Gemeentelijke Academie voor   Muziek en Woord,false,Kloosterstraat,9,262,,,66,66,1
440,Gemeentelijke Academie voor   Muziek en Woord,false,Hospitaalstraat,15,262,,,66,66,1
441,Gemeentelijke Academie voor   Muziek en Woord,false,Deken Paquayplein,1,262,,,66,66,1
442,Gemeentelijke Academie voor   Muziek en Woord,true,Biesweg,20,791,89712210,89732974,66,66,1
443,Gemeentelijke Academie voor   Muziek en Woord,false,Pastorijstraat,7,897,,,66,66,1
444,Gemeentelijke Academie voor   Muziek en Woord,false,Pastorijstraat,11,1302,,,66,66,1
445,Gemeentelijke Academie voor   Muziek en Woord,false,Appelboomgaardstraat,7_9  ,1688,,,66,66,1
446,Gemeentelijke Academie voor   Muziek en Woord,false,Sint Pieter,2,2029,,,66,66,1
447,Gemeentelijke Academie voor   Muziek en Woord,false,Kogelstraat,11,2054,,,66,66,1
448,Gemeentelijke Academie voor   Muziek en Woord,false,Kerkstraat,37,2091,,,66,66,1
449,Gemeentelijke Academie voor   Muziek en Woord,false,Schoolstraat,6,2820,,,66,66,1
450,Stedelijke Academie voor      Muziek en Woord en Dans,true,Hikstraat,28,1021,14213305,,67,67,1
