154,5370,BARVAUX-CONDROZ,true,HAVELANGE,11
155,6940,BARVAUX-SUR-OURTHE,true,DURBUY,9
156,4520,BAS-OHA,true,WANZE,10
157,7971,BAS?CLES,true,BELOEIL,8
158,4983,BASSE-BODEUX,true,TROIS-PONTS,10
159,4690,BASSENGE,false,BASSENGE,10
160,9968,BASSEVELDE,true,ASSENEDE,4
161,7830,BASSILLY,true,SILLY,8
162,6600,BASTOGNE,false,BASTOGNE,9
163,3870,BATSHEERS,true,HEERS,2
164,4651,BATTICE,true,HERVE,10
165,7130,BATTIGNIES,true,BINCHE,8
166,7331,BAUDOUR,true,SAINT-GHISLAIN,8
167,7870,BAUFFE,true,LENS,8
168,7604,BAUGNIES,true,P?RUWELZ,8
169,1401,BAULERS,true,NIVELLES,7
170,9520,BAVEGEM,true,SINT-LIEVENS-HOUTEM,4
171,8531,BAVIKHOVE,true,HARELBEKE,3
172,9150,BAZEL,true,KRUIBEKE,4
173,4052,BEAUFAYS,true,CHAUDFONTAINE,10
174,6500,BEAUMONT,false,BEAUMONT,8
175,5570,BEAURAING,false,BEAURAING,11
176,6980,BEAUSAINT,true,LA ROCHE-EN-ARDENNE,9
177,1320,BEAUVECHAIN,false,BEAUVECHAIN,7
178,6594,BEAUWELZ,true,MOMIGNIES,8
179,7532,B?CLERS,true,TOURNAI,8
180,3960,BEEK,true,BREE,2
181,9630,BEERLEGEM,true,ZWALM,4
182,8730,BEERNEM,false,BEERNEM,3
183,2340,BEERSE,false,BEERSE,1
184,1650,BEERSEL,false,BEERSEL,6
185,8600,BEERST,true,DIKSMUIDE,3
186,1673,BEERT,true,PEPINGEN,6
187,9080,BEERVELDE,true,LOCHRISTI,4
188,2580,BEERZEL,true,PUTTE,1
189,5000,BEEZ,true,NAMUR,11
190,6987,BEFFE,true,RENDEUX,9
191,3130,BEGIJNENDIJK,false,BEGIJNENDIJK,6
192,6672,BEHO,true,GOUVY,9
193,1852,BEIGEM,true,GRIMBERGEN,6
194,8480,BEKEGEM,true,ICHTEGEM,3
195,1730,BEKKERZEEL,true,ASSE,6
